instance,profile,policy,stream,route_len,rho_cand,cand_count,N,candidate_cvar_matches_full,tier2_decision,tier2_incremental_certified,full_feasible,t_tier2_total,t_tier2_exact_partial,t_full,tier2_over_full,cvar_L,cvar_U,cvar_candidate,cvar_full
CON3-0,moderate,SAA,search,10,0.8894,8894,10000,1,certified_feasible,1,1,0.0030685000238008797,0.001046200020937249,0.0008883999835234135,3.4539622700477124,7319985.633104584,7949657.99204694,7650463.427447299,7650463.427447298
CON3-0,moderate,SAA,search,10,0.898,8980,10000,1,ambiguous,0,1,0.002966500003822148,0.0014036000065971166,0.001083899987861514,2.7368761297570625,7479585.930597231,8144243.8771272,7829111.36461562,7829111.364615618
CON3-0,moderate,SAA,search,10,0.898,8980,10000,1,ambiguous,0,1,0.003151100012473762,0.0011509000032674521,0.0009503999899607152,3.315551394948997,7479585.930597231,8144243.877127201,7829111.364615617,7829111.36461562
CON3-0,moderate,SAA,search,10,0.8033,8033,10000,1,ambiguous,0,1,0.003124799986835569,0.0008698999881744385,0.0008980999991763383,3.47934527302235,7708292.089517887,8283919.691871324,8007677.137441675,8007677.137441675
CON3-0,moderate,SAA,search,15,0.9386,9386,10000,1,certified_feasible,1,1,0.004902899992885068,0.002360100013902411,0.0019365999905858189,2.531705058720953,7200403.913487435,7958495.382240452,7617115.660055363,7617115.660055363
CON3-0,moderate,SAA,search,15,0.9394,9394,10000,1,certified_feasible,1,1,0.005046200007200241,0.0023925999994389713,0.0020127999887336046,2.507054866576765,7198699.6441695625,7958452.795705227,7616419.532876842,7616419.532876842
CON3-0,moderate,SAA,search,16,0.8536,8536,10000,1,ambiguous,0,0,0.0046557999739889055,0.00205939999432303,0.0018545000057201833,2.510541903277512,7746082.954311235,8387059.557063614,8102574.36144743,8102574.361447431
CON3-0,moderate,SAA,search,16,0.9296,9296,10000,1,ambiguous,0,1,0.006064799992600456,0.003059100010432303,0.0020029000006616116,3.028009381695087,7600137.463000109,8373656.614975529,8055413.733637623,8055413.733637622
CON3-0,moderate,SAA,search,16,0.9296,9296,10000,1,ambiguous,0,1,0.005566499981796369,0.002621999999973923,0.001963600021554157,2.8348441233925916,7600137.463000109,8373656.614975529,8055413.733637623,8055413.733637623
CON3-0,moderate,SAA,search,16,0.9301,9301,10000,1,ambiguous,0,1,0.005835800024215132,0.002669600013177842,0.0021198999893385917,2.752865726479814,7600023.021809498,8373656.614975529,8050754.850873983,8050754.850873983
CON3-0,moderate,SAA,search,16,0.9301,9301,10000,1,ambiguous,0,1,0.005302499979734421,0.0023219000140670687,0.001998000021558255,2.6539038651255678,7600023.021809498,8373656.614975529,8025236.862227264,8025236.862227265
CON3-0,moderate,SAA,search,16,0.9235,9235,10000,1,ambiguous,0,0,0.004963200015481561,0.002272400015499443,0.0022906999802216887,2.1666739679288924,7763152.86580417,8542426.23945512,8185962.534538165,8185962.534538166
CON3-0,moderate,SAA,search,16,0.9235,9235,10000,1,ambiguous,0,0,0.005570399982389063,0.0027707999979611486,0.0022366000048350543,2.490566024477797,7763152.86580417,8542426.23945512,8185962.534538166,8185962.534538166
CON3-0,moderate,SAA,search,16,0.9235,9235,10000,1,ambiguous,0,0,0.005406899988884106,0.0022819000005256385,0.0021228000114206225,2.5470604672108017,7763152.86580417,8542426.23945512,8191455.747343601,8191455.747343601
CON3-0,moderate,SAA,search,16,0.9161,9161,10000,1,ambiguous,0,0,0.00545970001257956,0.0025800000003073364,0.001884299999801442,2.897468562943733,7992776.863397373,8773649.300795507,8416222.04923805,8416222.04923805
CON3-0,moderate,SAA,search,16,0.9161,9161,10000,1,ambiguous,0,0,0.0053214999788906425,0.002327999973203987,0.0019899000180885196,2.674254952770154,7992776.863397373,8773649.300795507,8416222.04923805,8416222.04923805
CON3-0,moderate,SAA,search,16,0.9161,9161,10000,1,ambiguous,0,0,0.0054567999904975295,0.002355300006456673,0.0020379000052344054,2.677658362275666,7992776.863397373,8773649.300795507,8421453.934058998,8421453.934059
CON3-0,moderate,SAA,search,16,0.9333,9333,10000,1,ambiguous,0,1,0.006137400021543726,0.0023267999931704253,0.0021788000012747943,2.816871680720027,7345836.907303436,8108465.067285679,7762846.6396724135,7762846.639672414
CON3-0,moderate,SAA,search,16,0.9333,9333,10000,1,ambiguous,0,1,0.005245599983027205,0.002311599993845448,0.002368100016610697,2.215109136536759,7345836.907303436,8108465.067285679,7762846.6396724135,7762846.639672414
CON3-0,moderate,SAA,search,16,0.9333,9333,10000,1,ambiguous,0,1,0.005279900011373684,0.002275900013046339,0.0027271999861113727,1.9360149744288186,7345836.907303436,8108465.067285679,7764894.425067304,7764894.425067305
CON3-0,moderate,SAA,search,10,0.8918,8918,10000,1,ambiguous,0,1,0.003218800004106015,0.0011149999918416142,0.0011603000166360289,2.7741101076926995,7541381.190222265,8184209.717967786,7878630.151364634,7878630.151364634
CON3-0,moderate,SAA,search,14,0.7976,7976,10000,1,ambiguous,0,1,0.0041625000012572855,0.0016641999827697873,0.0018110000237356871,2.298453863446661,7645823.434407342,8277031.876258548,7978065.441318918,7978065.441318918
CON3-0,moderate,SAA,search,14,0.6796,6796,10000,1,certified_infeasible,1,0,0.003977899992605671,0.001657500019064173,0.001853100024163723,2.1466191466922244,8173437.481116673,8666354.101413986,8439653.324092044,8439653.324092044
CON3-0,moderate,SAA,search,16,0.8539,8539,10000,1,certified_infeasible,1,0,0.0052909000078216195,0.002421100012725219,0.002222699986305088,2.3803932336441695,8131035.560912768,8814234.791064452,8495252.145587562,8495252.145587562
CON3-0,moderate,SAA,search,16,0.8539,8539,10000,1,certified_infeasible,1,0,0.005251599999610335,0.0021590999967884272,0.002340500010177493,2.2437940511745937,8131035.560912768,8814234.791064452,8495252.145587562,8495252.145587562
CON3-0,moderate,SAA,search,16,0.9389,9389,10000,1,certified_feasible,1,1,0.005471799988299608,0.0026098999951500446,0.002019900013692677,2.7089459632689175,7217257.0502124885,7977665.268974747,7635312.82198894,7635312.82198894
CON3-0,moderate,SAA,search,16,0.9389,9389,10000,1,certified_feasible,1,1,0.005709999997634441,0.0029443000094033778,0.0022748000046703964,2.5101107727761685,7217257.0502124885,7977665.268974747,7635312.82198894,7635312.82198894
CON3-0,moderate,SAA,search,16,0.9389,9389,10000,1,certified_feasible,1,1,0.006161199999041855,0.0026409999991301447,0.002675499999895692,2.3028219021798013,7217257.0502124885,7977665.268974747,7635339.954509592,7635339.954509592
CON3-0,moderate,SAA,search,10,0.8941,8941,10000,1,certified_feasible,1,1,0.0030821000109426677,0.0010237999958917499,0.0008846000127959996,3.484173599772986,7322091.3113467805,7952519.522492947,7653161.399741482,7653161.39974148
CON3-0,moderate,SAA,search,10,0.8873,8873,10000,1,certified_feasible,1,1,0.0025590999866835773,0.000912199990125373,0.0010042000212706625,2.548396666478283,7322156.477043471,7937652.230049417,7629960.968439506,7629960.968439506
CON3-0,moderate,SAA,search,14,0.7737,7737,10000,1,certified_feasible,1,1,0.004362599982414395,0.0018654000014066696,0.0018072999955620617,2.41387705036631,7415983.879826803,7951163.710449888,7706854.138489985,7706854.138489985
CON3-0,moderate,SAA,search,16,0.93,9300,10000,1,ambiguous,0,1,0.005237700010184199,0.002238999994006008,0.002005799993639812,2.611277309199528,7475743.736488702,8243600.566545945,7900253.122619099,7900253.122619099
CON3-0,moderate,SAA,search,16,0.93,9300,10000,1,ambiguous,0,1,0.004975000018021092,0.0022532000148203224,0.0020355999877210706,2.4439968795592244,7475743.736488702,8243600.566545945,7900253.122619099,7900253.122619099
CON3-0,moderate,SAA,search,16,0.93,9300,10000,1,ambiguous,0,1,0.0052137000020593405,0.0022421000176109374,0.0022760999854654074,2.29062872253095,7475743.736488702,8243600.566545945,7897764.0488004135,7897764.0488004135
CON3-0,moderate,SAA,search,14,0.8145,8145,10000,1,ambiguous,0,1,0.004444999998668209,0.0017451999883633107,0.0019702000136021525,2.256116114090028,7626133.650857292,8207932.459684154,7954360.257683589,7954360.257683589
CON3-0,moderate,SAA,search,14,0.8145,8145,10000,1,ambiguous,0,1,0.00502119999146089,0.0021980000019539148,0.0018804999999701977,2.670140915469538,7626133.650857292,8207932.459684154,7949083.851909129,7949083.851909128
CON3-0,moderate,SAA,search,10,0.892,8920,10000,1,certified_feasible,1,1,0.0030209999822545797,0.0013289999915286899,0.0009393000218551606,3.2162247545656033,7218187.839768934,7838667.908426007,7543741.554337971,7543741.554337972
CON3-0,moderate,SAA,search,15,0.8086,8086,10000,1,ambiguous,0,0,0.004699900018749759,0.002043900021817535,0.00209489997359924,2.2434961468231234,7781511.149526876,8371913.598636019,8122735.027953568,8122735.027953567
CON3-0,moderate,SAA,search,16,0.9355,9355,10000,1,ambiguous,0,1,0.005523600004380569,0.0025514000153634697,0.0021855999948456883,2.5272694076715334,7355433.777749342,8120499.733084206,7779605.465503595,7779605.465503595
CON3-0,moderate,SAA,search,11,0.8979,8979,10000,1,certified_feasible,1,1,0.0030467000033240765,0.0010878999892156571,0.0013564999972004443,2.246000744277096,7308172.403792795,7940509.595803911,7624547.038986603,7624547.038986602
CON3-0,moderate,SAA,search,15,0.8089,8089,10000,1,ambiguous,0,1,0.004842899972572923,0.0020212999952491373,0.002040899998974055,2.3729236978820185,7746174.004022789,8332514.017267616,8076608.239277341,8076608.239277341
CON3-0,moderate,SAA,search,16,0.9406,9406,10000,1,ambiguous,0,1,0.005342299991752952,0.002528299984987825,0.0020914000051561743,2.554413301416253,7314644.245020664,8088168.547749781,7739710.949773055,7739710.949773055
CON3-0,moderate,SAA,search,16,0.9406,9406,10000,1,ambiguous,0,1,0.00566420002724044,0.0024544000043533742,0.0024193999997805804,2.3411589765041483,7314644.245020664,8088168.547749781,7739710.949773055,7739710.949773055
CON3-0,moderate,SAA,search,16,0.9406,9406,10000,1,ambiguous,0,1,0.005002799996873364,0.002237100008642301,0.002276899991557002,2.1971979513480178,7314644.245020664,8088168.547749781,7739817.8110418115,7739817.8110418115
CON3-0,moderate,SAA,search,17,0.8317,8317,10000,1,certified_infeasible,1,0,0.005404600000474602,0.002529499994125217,0.0021677000040654093,2.4932416802779693,8308854.244491524,8923885.443303583,8651328.8841596,8651328.8841596
CON3-0,moderate,SAA,search,17,0.847,8470,10000,1,certified_infeasible,1,0,0.005632199987303466,0.00231719997827895,0.002203600015491247,2.5559084896121145,8216328.614089352,8902450.193362812,8591309.966538524,8591309.966538524
CON3-0,moderate,SAA,search,17,0.847,8470,10000,1,certified_infeasible,1,0,0.005320700001902878,0.0024462000001221895,0.0021628999966196716,2.459984285088739,8216328.614089352,8902450.193362812,8591309.966538524,8591309.966538524
CON3-0,moderate,SAA,search,16,0.864,8640,10000,1,ambiguous,0,0,0.005106199998408556,0.002535200008423999,0.002144199999747798,2.3814009882516327,8069594.413250919,8756082.124070736,8445432.965847384,8445432.965847384
CON3-0,moderate,SAA,search,15,0.9148,9148,10000,1,ambiguous,0,0,0.00505819998215884,0.0023142999853007495,0.0019650000031106174,2.5741475695428253,7971408.890465459,8691104.15181982,8357445.3482775455,8357445.3482775455
CON3-0,moderate,SAA,search,16,0.8085,8085,10000,1,certified_feasible,1,1,0.00509680001414381,0.0020828999986406416,0.0019576999766286463,2.603463285993907,7440194.931991661,7989255.110419678,7728570.697077263,7728570.697077264
CON3-0,moderate,SAA,search,16,0.8236,8236,10000,1,certified_feasible,1,1,0.004993699985789135,0.0021037000115029514,0.0023641999869141728,2.1122155542801893,7420586.357926032,7981353.028979447,7716679.076314754,7716679.076314755
CON3-0,moderate,SAA,search,16,0.8236,8236,10000,1,certified_feasible,1,1,0.00514720001956448,0.00219870000728406,0.0020397999905981123,2.523384666775693,7420586.357926032,7981353.028979447,7716679.076314754,7716679.076314755
CON3-0,moderate,SAA,search,15,0.939,9390,10000,1,certified_infeasible,1,0,0.005219799990300089,0.0022561000077985227,0.00198529998306185,2.629224819842993,8089766.23645846,8872835.53121204,8533578.109159311,8533578.109159311
